actor_id,name,description,image url
2231,Samuel L. Jackson,"Samuel Leroy Jackson (born December 21, 1948) is an American actor and film producer. He achieved prominence and critical acclaim in the early 1990s with films such as Goodfellas (1990), Jungle Fever (1991), Patriot Games (1992), Amos & Andrew (1993), True Romance (1993), Jurassic Park (1993) and his collaborations with director Quentin Tarantino including Pulp Fiction (1994), Jackie Brown (1997), Django Unchained (2012), and The Hateful Eight (2015). He is a highly prolific actor, having appeared in over 100 films, including Die Hard with a Vengeance (1995), Unbreakable (2000), Shaft (2000), The 51st State (2001), Black Snake Moan (2006), Snakes on a Plane (2006), and the Star Wars prequel trilogy (1999每2005).With Jackson's permission, his likeness was used for the Ultimate version of the Marvel Comics character Nick Fury. He has also played Fury in the Marvel Cinematic Universe (MCU) films Iron Man (2008), Iron Man 2 (2010), Thor (2011), Captain America: The First Avenger (2011), The Avengers (2012), Captain America: The Winter Soldier (2014), Avengers: Age of Ultron (2015) and Avengers: Infinity War (2018), as well as the TV show Marvel's Agents of S.H.I.E.L.D..Jackson has provided his voice to several animated films, television series and video games, including the roles of Lucius Best / Frozone in Pixar Animation Studios' film The Incredibles (2004), Mace Windu in Star Wars: The Clone Wars (2008), Afro Samurai in the anime television series Afro Samurai (2007), and Frank Tenpenny in the video game Grand Theft Auto: San Andreas (2004).Jackson has achieved critical and commercial acclaim, surpassing Frank Welker as the actor with the highest-grossing film total of all time in October 2011, and he has received numerous accolades and awards. He is married to LaTanya Richardson, with whom he has a daughter, Zoe. Samuel L. Jackson is ranked as the highest all-time box office star with over $5.1 billion total US box office gross, an average of $70.5 million per film.",http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Samuel_L._Jackson_SDCC_2014_%28cropped%29.jpg/220px-Samuel_L._Jackson_SDCC_2014_%28cropped%29.jpg
31,Tom Hanks,"Thomas Jeffrey Hanks (born July 9, 1956) is an American actor and filmmaker. Hanks is known for his comedic and dramatic roles in such films as Splash (1984), Big (1988), Turner & Hooch (1989), A League of Their Own (1992), Sleepless in Seattle (1993), Apollo 13 (1995), Saving Private Ryan (1998), You've Got Mail (1998), The Green Mile (1999), Cast Away (2000), Road to Perdition (2002), Cloud Atlas (2012), Captain Phillips (2013), Saving Mr. Banks (2013), and Sully (2016). He has also starred in the Robert Langdon film series, and voices Sheriff Woody in the Toy Story film series.Hanks has collaborated with film director Steven Spielberg on five films to date: Saving Private Ryan (1998), Catch Me If You Can (2002), The Terminal (2004), Bridge of Spies (2015), and The Post (2017), as well as the 2001 miniseries Band of Brs, which launched Hanks as a successful director, producer, and screenwriter. In 2010, Spielberg and Hanks were executive producers on the HBO miniseries The Pacific.Hanks' films have grossed more than $4.5 billion at U.S. and Canadian box offices and more than $9.0 billion worldwide, making him the third highest-grossing actor in North America. Hanks has been nominated for numerous awards during his career. He won a Golden Globe Award and an Academy Award for Best Actor for his role in Philadelphia (1993), as well as a Golden Globe, an Academy Award, a Screen Actors Guild Award, and a People's Choice Award for Best Actor for Forrest Gump (1994). In 1995, Hanks became one of only two actors who won the Academy Award for Best Actor in consecutive years, with Spencer Tracy being the . This feat has not been accomplished since. In 2004, he received the Stanley Kubrick Britannia Award for Excellence in Film from the British Academy of Film and Television Arts (BAFTA). In 2014, he received a Kennedy Center Honor and, in 2016, he received a Presidential Medal of Freedom from President Barack Obama, as well as the French Legion of Honor.",http://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Tom_Hanks_2014.jpg/220px-Tom_Hanks_2014.jpg
18277,Stellan Skarsg疇rd,"Stellan John Skarsgrd (Swedish:[stlan sk酉阱o](listen); born 13 June 1951) is a Swedish actor. He is known for his roles as Jan Nyman in Breaking the Waves (1996), Captain Tupolev in The Hunt for Red October (1990), Prof. Gerald Lambeau in Good Will Hunting (1997), Bootstrap Bill Turner in Pirates of the Caribbean: Dead Man's Chest (2006) and Pirates of the Caribbean: At World's End (2007), Bill Anderson in Mamma Mia! (2008), Commander Maximilian Richter in Angels and Demons (2009), Martin Vanger in The Girl With the Dragon Tattoo (2011), Dr. Erik Selvig in the Marvel Cinematic Universe films Thor (2011), The Avengers (2012), Thor: The Dark World (2013), and Avengers: Age of Ultron (2015), and The Grand Duke in Cinderella (2015).",http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Stellan_Skarsg%C3%A5rd_at_the_2017_Berlinale.jpg/220px-Stellan_Skarsg%C3%A5rd_at_the_2017_Berlinale.jpg
85,Johnny Depp,"John Christopher Depp II (born June 9, 1963) is an American actor, producer, and musician. He has been nominated for 3 Academy Awards and won the Golden Globe Award and Screen Actors Guild Award for Best Actor. He rose to prominence on the 1980s television series 21 Jump Street, becoming a teen idol.Depp has taken on the task of challenging himself to portray ""larger-than-life"" roles, starting with a supporting role in Oliver Stone's Vietnam War film Platoon in 1986, then playing the title character in the romantic dark fantasy Edward Scissorhands (1990). He later found box office success in the fantasy adventure film Sleepy Hollow (1999), the fantasy swashbuckler film Pirates of the Caribbean: The Curse of the Black Pearl (2003) and its sequels, the fantasy film Charlie and the Chocolate Factory (2005), the fantasy film Alice in Wonderland (2010) and voicing the title character in the animated action comedy western Rango (2011). He has collaborated on nine films with director, producer and friend Tim Burton.Depp is regarded as one of the world's biggest film stars. He has gained praise from reviewers for his portrayals including screenwriter-director Ed Wood in Ed Wood, undercover FBI agent Joseph D. Pistone in Donnie Brasco, author J. M. Barrie in Finding Neverland, and the Boston gangster Whitey Bulger in Black Mass. Films featuring Depp have grossed over $3.2billion at the United States box office and over $8billion worldwide. His most commercially successful films are the Pirates of the Caribbean series, which grossed $3 billion, Alice in Wonderland, which grossed $1 billion, Charlie and the Chocolate Factory, which grossed $474 million, and The Tourist, which grossed $278 million.Depp has been nominated for major acting awards, including three nominations for Academy Award for Best Actor. Depp won the Golden Globe Award for Best Actor 每 Motion Picture Musical or Comedy for Sweeney Todd: The Demon Barber of Fleet Street and the Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Leading Role for The Curse of the Black Pearl. He has been listed in the 2012 Guinness World Records as the highest paid actor, with earnings of $75 million. Depp was inducted as a Disney Legend in 2015.",http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/JohnnyDeppHWOFJune2013.jpg/220px-JohnnyDeppHWOFJune2013.jpg
380,Robert De Niro,"Robert Anthony De Niro Jr. (/d nro/; born August 17, 1943) is an Italian-American actor, producer, and director.De Niro was cast as the young Vito Corleone in the 1974 film The Godfather Part II, for which he won the Academy Award for Best Supporting Actor. His longtime collaboration with director Martin Scorsese earned him the Academy Award for Best Actor for his portrayal of Jake LaMotta in the 1980 film Raging Bull. He received the AFI Life Achievement Award in 2003, the Golden Globe Cecil B. DeMille Award in 2010, and the Presidential Medal of Freedom from President Barack Obama in 2016.De Niro's first major film roles were in the sports drama Bang the Drum Slowly (1973) and Scorsese's crime film Mean Streets (1973). He earned Academy Award nominations for the psychological thrillers Taxi Driver (1976) and Cape Fear (1991), both directed by Scorsese. De Niro received additional nominations for Michael Cimino's Vietnam war drama The Deer Hunter (1978), Penny Marshall's drama Awakenings (1990), and David O. Russell's romantic comedy-drama Silver Linings Playbook (2012). His portrayal of gangster Jimmy Conway in Scorsese's crime film Goodfellas (1990), and his role as Rupert Pupkin in the black comedy film The King of Comedy (1983), earned him BAFTA Award nominations.De Niro has earned four nominations for the Golden Globe Award for Best Actor 每 Motion Picture Musical or Comedy, for his work in the musical drama New York, New York (1977), the action comedy Midnight Run (1988), the gangster comedy Analyze This (1999), and the comedy Meet the Parents (2000).  notable performances include roles in 1900 (1976), Once Upon a Time in America (1984), Brazil (1985), The Mission (1986), The Untouchables (1987), Heat (1995), and Casino (1995). He has directed and starred in films such as the crime drama A Bronx Tale (1993) and the spy film The Good Shepherd (2006).",http://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Robert_De_Niro_Cannes_2016.jpg/220px-Robert_De_Niro_Cannes_2016.jpg
3895,Michael Caine,"Sir Michael Caine CBE (/ken/; born Maurice Joseph Micklewhite Jr., 14 March 1933) is an English actor, producer and author. Known for his distinctive cockney accent, Caine has appeared in over 115 films and is regarded as a British film icon.He made his breakthrough in the 1960s with starring roles in British films, including Zulu (1964), The Ipcress File (1965), Alfie (1966), for which he was nominated for an Academy Award, The Italian Job (1969), and Battle of Britain (1969). His most notable roles in the 1970s included Get Carter (1971), The Last Valley (1971), Sleuth (1972), for which he earned his second Academy Award nomination, The Man Who Would Be King (1975) and A Bridge Too Far (1977). He achieved some of his greatest critical success in the 1980s, with Educating Rita (1983), earning him the BAFTA and Golden Globe Award for Best Actor. In 1986, he received an Academy Award for Best Supporting Actor for his performance in Woody Allen's Hannah and Her Sisters.Caine played Ebenezer Scrooge in The Muppet Christmas Carol (1992). This was his first starring role in several years, which led to a career resurgence in the late 1990s, receiving his second Golden Globe Award for his performance in Little Voice in 1998 and receiving his second Academy Award for Best Supporting Actor for The Cider House Rules the following year. Caine played Nigel Powers in the 2002 parody Austin Powers in Goldmember, and Alfred Pennyworth in Christopher Nolan's The Dark Knight Trilogy. He appeared in several  of Nolan's films including The Prestige (2006), Inception (2010), Interstellar (2014) and a minor (voice-only) role in Dunkirk (2017). He also appeared as a supporting character in Alfonso Cuar車n's Children of Men and Pixar's 2011 film Cars 2. As of February 2017, films in which he has starred have grossed over $3.5 billion domestically and over $7.8 billion worldwide. Caine is ranked as the twelfth-highest-grossing box office star.Caine is one of only two actors nominated for an Academy Award for acting in every decade from the 1960s to the 2000s (the  one being Jack Nicholson; Laurence Olivier was also nominated for an acting Academy Award in five different decades, beginning in 1939 and ending in 1978). Caine appeared in seven films that featured in the British Film Institute's 100 greatest British films of the 20th century. In 2000, Caine received a BAFTA Fellowship, and was knighted by Queen Elizabeth II in recognition of his contribution to cinema.",http://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Michael_Caine_-_Viennale_2012_g_%28cropped%29.jpg/220px-Michael_Caine_-_Viennale_2012_g_%28cropped%29.jpg
6384,Keanu Reeves,"Keanu Charles Reeves (/ki酉nu/ kee-AH-noo; born September 2, 1964) is a Canadian[a] actor, director, producer, and musician. He gained fame for his starring role performances in several blockbuster films, including comedies from the Bill and Ted franchise (1989每1991); action thrillers Point Break (1991), Speed (1994), and the John Wick franchise; psychological thriller The Devil's Advocate (1997); supernatural thriller Constantine (2005); and science fiction/action series The Matrix (1999每2003). He has also appeared in dramatic films such as Dangerous Liaisons (1988), My Own Private Idaho (1991), and Little Buddha (1993), as well as the romantic horror Bram Stoker's Dracula (1992).Reeves has earned critical acclaim for his acting. One New York Times critic praised Reeves' versatility, saying that he ""displays considerable discipline and range... he moves easily between the buttoned-down demeanor that suits a police procedural story and the loose-jointed manner of his comic roles"". However, Reeves has spent much of his later career being typecast. A recurring character arc in many roles he has portrayed is one of saving the world, as can be seen in the characters of Ted Logan, Buddha, Neo, Johnny Mnemonic, John Constantine, and Klaatu. His acting has garnered several awards, including a star on the Hollywood Walk of Fame.During his film career, Reeves has engaged in several forms of artistic expression. He is a musician and played bass guitar for the bands Dogstar and Becky. Acting onstage, he performed as Prince Hamlet for the Manitoba Theatre Centre's production of Hamlet. He wrote the text for a picture book, Ode to Happiness, illustrated by Alexandra Grant. He has also produced a documentary, Side by Side, and directed the martial arts film Man of Tai Chi.",http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Keanu_Reeves_%28crop_and_levels%29_%28cropped%29.jpg/220px-Keanu_Reeves_%28crop_and_levels%29_%28cropped%29.jpg
62,Bruce Willis,"Walter Bruce Willis (born March 19, 1955) is an American actor, producer, and singer. His career began on the Off-Broadway stage and then in television in the 1980s, most notably as David Addison in Moonlighting (1985每1989). He is known for his role of John McClane in the Die Hard film series (1988每2013). Willis has appeared in over 60 films, including Death Becomes Her (1992), Pulp Fiction (1994), 12 Monkeys (1995), The Fifth Element (1997), Armageddon (1998), The Sixth Sense (1999), Unbreakable (2000), Sin City (2005), Red (2010), Moonrise Kingdom (2012), The Expendables 2 (2012), and Looper (2012).",http://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Bruce_Willis_by_Gage_Skidmore.jpg/220px-Bruce_Willis_by_Gage_Skidmore.jpg
3223,Robert Downey Jr.,"Robert John Downey Jr. (born April 4, 1965) is an American actor and singer. His career has included critical and popular success in his youth, followed by a period of substance abuse and legal troubles, and a resurgence of commercial success in middle age. For three consecutive years from 2012 to 2015, Downey topped the Forbes list of Hollywood's highest-paid actors, making an estimated $80 million in earnings between June 2014 and June 2015.Making his acting debut at the age of five, appearing in his father's film Pound (1970), Downey Jr. appeared in roles associated with the Brat Pack, such as the teen sci-fi comedy Weird Science (1985) and the drama Less Than Zero (1987). He starred as the title character in the 1992 film Chaplin, which earned him a nomination for the Academy Award for Best Actor and won him the BAFTA Award for Best Actor in a Leading Role. After being released in 2000 from the California Substance Abuse Treatment Facility and State Prison where he was on drug charges, Downey joined the cast of the TV series Ally McBeal playing Calista Flockhart's love interest. This earned him a Golden Globe Award. His character was written out when Downey was fired after two drug arrests in late 2000 and early 2001. After his last stay in a court-ordered drug treatment program, Downey achieved sobriety.Downey Jr.'s career prospects improved when he featured in the black comedy crime Kiss Kiss Bang Bang (2005), the mystery thriller Zodiac (2007), and the satirical action comedy Tropic Thunder (2008); for the latter he was nominated for an Academy Award for Best Supporting Actor. Beginning in 2008, Downey began portraying the role of Marvel Comics superhero Iron Man in the Marvel Cinematic Universe, appearing in several films as either the lead role, member of an ensemble cast, or in a cameo. Each of these films, with the exception of The Incredible Hulk, has grossed over $500 million at the box office worldwide; five of these〞The Avengers, Avengers: Age of Ultron, Iron Man 3, Captain America: Civil War, and Avengers: Infinity War〞earned over $1 billion.",http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Robert_Downey_Jr_2014_Comic_Con_%28cropped%29.jpg/220px-Robert_Downey_Jr_2014_Comic_Con_%28cropped%29.jpg
65717,Jon Hamm,"Jonathan Daniel Hamm (born March 10, 1971) is an American actor best known for playing advertising executive Don Draper for the AMC television drama series, Mad Men (2007每2015).For much of the mid-1990s, he lived in Los Angeles, making appearances in television series Providence, The Division, What About Brian, and Related. In 2000, he made his feature film debut in the space adventure film Space Cowboys. The next year, he had a minor role in the independent comedy, Kissing Jessica Stein (2001).He gained wide recognition when Mad Men began in July 2007. His performance earned him the Golden Globe Award for Best Actor in a Television Series 每 Drama in 2008 and again in 2016, and the Primetime Emmy Award for Outstanding Lead Actor in a Drama Series in 2015. He has also directed two episodes of the show.In 2008, Hamm appeared in a remake of the science fiction film The Day the Earth Stood Still. His first leading film role was in the 2010 independent thriller Stolen. He also had supporting roles in the films The Town (2010), Sucker Punch (2011), and Bridesmaids (2011). Hamm has received 16 Primetime Emmy Award nominations for his performances in Mad Men, 30 Rock (2006每2013), and Unbreakable Kimmy Schmidt (2015每present).His  television credits include featuring in the Sky Arts series A Young Doctor's Notebook and guest roles in Black Mirror, Parks and Recreation and Wet Hot American Summer: First Day of Camp. He has also provided his voice to the animated films Shrek Forever After (2010) and Minions (2015).",http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Jon_Hamm_at_PaleyFest_2014.jpg/220px-Jon_Hamm_at_PaleyFest_2014.jpg
