State,Under 5 Years
AL,310504
AK,52083
AZ,515910
AR,202070
CA,2704659
CO,358280
CT,211637
DE,59319
DC,36352
FL,1140516
GA,740521
HI,87207
ID,121746
IL,894368
IN,443089
IA,201321
KS,202529
KY,284601
LA,310716
ME,71459
MD,371787
MA,383568
MI,625526
MN,358471
MS,220813
MO,399450
MT,61114
NE,132092
NV,199175
NH,75297
NJ,557421
NM,148323
NY,1208495
NC,652823
ND,41896
OH,743750
OK,266547
OR,243483
PA,737462
RI,60934
SC,303024
SD,58566
TN,416334
TX,2027307
UT,268916
VT,32635
VA,522672
WA,433119
WV,105435
WI,362277
WY,38253
