date,other,Action,Comedy,Crime,Documentary,Drama,Horror,Romance,Thriller
1930,30,4,35,9,3,47,0,28,3
1931,30,11,29,18,2,69,5,32,7
1932,50,9,40,18,0,82,14,37,11
1933,63,17,44,16,2,77,11,44,10
1934,72,14,44,14,2,75,3,43,6
1935,79,15,57,16,1,69,9,47,7
1936,89,8,54,19,1,71,7,42,10
1937,92,13,53,21,2,83,0,53,11
1938,67,9,51,15,2,62,1,41,9
1939,94,12,39,20,1,72,7,39,20
1940,88,17,53,17,1,81,8,43,17
1941,80,7,69,14,0,64,9,54,17
1942,99,18,47,19,4,69,9,43,18
1943,113,17,37,8,7,64,11,41,20
1944,104,8,38,12,5,72,8,27,24
1945,84,13,38,17,6,71,8,35,24
1946,73,6,19,30,1,80,8,30,27
1947,76,7,36,37,0,85,0,36,36
1948,77,20,36,34,3,98,3,38,24
1949,71,11,36,32,1,97,4,31,26
1950,88,16,40,43,1,93,1,34,24
1951,100,24,50,31,2,104,4,34,25
1952,113,25,54,21,2,105,3,41,19
1953,118,22,44,22,5,101,8,42,23
1954,110,24,46,28,1,92,9,44,27
1955,111,27,51,36,3,117,12,50,22
1956,146,31,46,22,5,117,15,41,19
1957,136,21,49,19,5,121,24,43,20
1958,135,31,38,21,5,99,32,37,21
1959,142,27,45,23,6,116,26,33,29
1960,119,24,47,29,3,117,20,43,27
1961,118,17,51,18,4,102,18,35,16
1962,132,34,61,16,4,132,16,28,18
1963,114,22,75,23,11,101,24,43,19
1964,160,29,78,25,9,111,28,40,27
1965,163,34,68,18,8,123,20,36,27
1966,221,64,89,34,8,114,27,35,28
1967,182,44,88,32,12,120,27,45,33
1968,221,55,85,39,16,138,28,38,40
1969,189,49,81,22,10,154,17,36,31
1970,201,55,86,24,19,181,38,40,49
1971,206,53,88,43,20,151,67,30,60
1972,211,61,92,48,18,164,68,22,61
1973,209,75,72,75,12,154,67,24,73
1974,170,78,73,62,19,156,50,25,72
1975,175,64,85,50,12,149,38,36,55
1976,161,76,81,46,18,134,41,20,60
1977,198,63,80,30,17,137,45,26,60
1978,174,69,85,39,14,139,48,39,59
1979,205,57,97,34,13,143,37,40,47
1980,215,62,108,26,16,138,62,43,55
1981,198,49,104,34,15,140,78,44,61
1982,224,60,123,31,14,139,61,40,47
1983,219,70,113,37,15,145,47,52,51
1984,210,64,122,37,18,157,49,55,56
1985,234,73,139,37,19,135,47,61,55
1986,224,77,124,41,14,151,55,55,52
1987,291,88,154,48,11,178,69,61,67
1988,258,82,152,53,20,193,91,69,92
1989,260,88,158,45,12,177,84,62,64
1990,230,79,140,51,15,182,75,64,82
1991,236,90,150,45,16,179,45,72,80
1992,243,79,161,50,21,202,42,69,82
1993,291,109,154,53,15,239,42,77,98
1994,334,109,186,48,27,235,36,90,95
1995,337,121,171,64,34,275,48,100,111
1996,332,93,219,56,25,327,40,120,120
1997,383,112,206,77,38,301,37,126,124
1998,406,103,228,79,51,337,46,140,129
1999,394,100,238,62,50,336,54,137,128
2000,428,109,260,74,52,394,66,155,137
2001,493,150,270,86,65,408,64,162,156
2002,534,161,270,93,76,456,68,153,183
2003,479,150,297,88,87,395,71,138,182
2004,514,155,307,76,103,494,96,167,167
2005,573,156,347,98,112,563,113,189,195
2006,683,173,377,114,140,596,150,200,268
2007,658,189,371,127,157,620,169,197,250
2008,794,233,410,121,186,655,180,190,285
2009,897,244,471,127,219,701,184,216,346
2010,743,221,433,121,214,645,174,212,311
2011,835,239,472,112,239,713,164,198,294
2012,670,190,440,115,273,651,180,194,289
2013,762,208,477,153,289,761,182,184,337
2014,806,234,542,142,313,786,210,223,351
2015,894,225,520,129,292,770,240,196,367
2016,676,205,479,102,195,649,174,186,302
