,name,gender,all_time_final_score
2231,Samuel L. Jackson,2,457.34311667887414
31,Tom Hanks,2,392.26903862409074
18277,Sandra Bullock,1,390.53480173569653
85,Johnny Depp,2,390.50189824278254
380,Robert De Niro,2,387.90573610894893
3895,Michael Caine,2,374.40415142073664
6384,Keanu Reeves,2,367.51023675538283
62,Bruce Willis,2,365.4230823738934
3223,Robert Downey Jr.,2,349.86696782807974
65717,Jon Hamm,2,346.26069634490386
192,Morgan Freeman,2,339.4367479125887
287,Brad Pitt,2,327.70813154256837
10990,Emma Watson,1,321.44238424991397
8691,Zoe Saldana,1,317.705480820784
2232,Michael Keaton,2,312.887629860428
57755,Woody Harrelson,2,312.27721564172236
3,Harrison Ford,2,297.6883434969454
118,Geoffrey Rush,2,296.0345223741473
3894,Christian Bale,2,289.02466121895
64,Gary Oldman,2,286.80295616789806
3896,Liam Neeson,2,283.18767645488947
1245,Scarlett Johansson,1,283.0527941036954
3061,Ewan McGregor,2,281.11231023116574
10205,Sigourney Weaver,1,280.70263531564177
880,Ben Affleck,2,278.7561190858803
1892,Matt Damon,2,274.1200484192464
5293,Willem Dafoe,2,267.62486494317693
16828,Chris Evans,2,265.0166456390928
1979,Kevin Spacey,2,264.23910808806977
18897,Jackie Chan,2,260.9832526161827
8891,John Travolta,2,258.61688685975696
500,Tom Cruise,2,258.4844785333527
1158,Al Pacino,2,258.2571762552461
2963,Nicolas Cage,2,255.14435684603322
10859,Ryan Reynolds,2,249.9607916979407
73457,Chris Pratt,2,246.00757711460915
62064,Chris Pine,2,245.2307191050173
32,Robin Wright,1,242.67724882854645
1333,Andy Serkis,2,238.92055080618528
2157,Robin Williams,2,237.00146097167897
16483,Sylvester Stallone,2,235.65876655158425
19,Allison Janney,1,234.70959231343767
1230,John Goodman,2,228.94249728639156
4495,Steve Carell,2,226.46302620737964
190,Clint Eastwood,2,224.2932101343794
2282,Ben Kingsley,2,221.4481022666053
11207,David Thewlis,2,220.98554276857467
12835,Vin Diesel,2,220.8091006002109
6193,Leonardo DiCaprio,2,217.53107306065115
1327,Ian McKellen,2,215.7158580790555
51329,Bradley Cooper,2,214.97181205017054
2283,Stanley Tucci,2,212.48884156635899
8945,Kevin Kline,2,212.26884331436622
4581,Steve Coogan,2,212.2010225938268
4483,Dustin Hoffman,2,210.68483562674993
13240,Mark Wahlberg,2,210.0337514451527
90633,Gal Gadot,1,209.56372937449603
55636,Donald Sutherland,2,208.73051537961936
1231,Julianne Moore,1,206.79335845000477
5292,Denzel Washington,2,205.84052994073738
514,Jack Nicholson,2,205.4927248214891
51990,T.J. Miller,2,204.61550251536386
134,Jamie Foxx,2,202.8538054299722
4173,Anthony Hopkins,2,201.68284003497757
1037,Harvey Keitel,2,199.94445311263846
1229,Jeff Bridges,2,199.48658547822382
6856,Kurt Russell,2,198.5206183124795
2461,Mel Gibson,2,196.79193330745036
4690,Christopher Walken,2,196.5345504038646
5469,Ralph Fiennes,2,195.18929960422818
193,Gene Hackman,2,195.14964252449153
103,Mark Ruffalo,2,193.49918520143692
65731,Sam Worthington,2,191.90192725638713
738,Sean Connery,2,191.62685126561138
72129,Jennifer Lawrence,1,191.49144113677679
5064,Meryl Streep,1,191.32573840456402
10980,Daniel Radcliffe,2,190.48196184571643
3087,Robert Duvall,2,190.08506475341954
17051,James Franco,2,189.69355811720098
2227,Nicole Kidman,1,188.8126111962924
3036,John Cusack,2,186.97390138105695
17604,Jeremy Renner,2,186.71334342305775
5723,John Leguizamo,2,185.67538937211944
1269,Kevin Costner,2,184.82117660957798
2975,Laurence Fishburne,2,184.25994114778703
884,Steve Buscemi,2,183.80954254231872
18999,J.K. Simmons,2,182.07997804141903
1233,Philip Seymour Hoffman,2,181.87194150172692
569,Ethan Hawke,2,177.68817925750716
116,Keira Knightley,1,177.12995030976856
1283,Helena Bonham Carter,1,176.48015406186
7447,Alec Baldwin,2,176.29087226854233
112,Cate Blanchett,1,176.06366386176018
1159982,Ansel Elgort,2,175.80429048649464
3131,Antonio Banderas,2,175.65189613205087
7056,Emma Thompson,1,175.4204128254739
66580,Scott Adsit,2,174.7449236848997
17288,Michael Fassbender,2,174.43893358239558
819,Edward Norton,2,174.254609460927
139,Uma Thurman,1,173.7098513098483
109,Elijah Wood,2,173.63551272594756
10182,Ving Rhames,2,172.97670332055904
4038,Susan Sarandon,1,172.58548878846432
1532,Bill Murray,2,171.32379360631776
6413,Danny Huston,2,171.1758391963806
1100,Arnold Schwarzenegger,2,170.91087338466076
5049,John Hurt,2,170.86256704189913
1461,George Clooney,2,170.455758996879
4135,Robert Redford,2,169.71760353607775
114,Orlando Bloom,2,169.50988921722313
7399,Ben Stiller,2,169.04187627023737
6968,Hugh Jackman,2,168.9951715156827
10297,Matthew McConaughey,2,168.8183206784827
131,Jake Gyllenhaal,2,168.58488119781825
4165,John Wayne,2,168.04985231475223
228,Ed Harris,2,167.44356582800935
72466,Colin Farrell,2,165.5453290918778
1243,Woody Allen,2,165.51039594659815
2039,Brendan Gleeson,2,165.25318814164766
221018,Dan Stevens,2,164.67528981462604
3489,Naomi Watts,1,164.6150675944202
1640,Stellan Skarsgård,2,162.9372243106995
1248,Brian Cox,2,162.8660970004658
2176,Tommy Lee Jones,2,161.76190987567324
113,Christopher Lee,2,160.84883646449305
2888,Will Smith,2,160.24734661541004
524,Natalie Portman,1,160.2192394214396
9642,Jude Law,2,159.85863977253774
1204,Julia Roberts,1,159.68699062724613
976,Jason Statham,2,158.99368143588782
854,James Stewart,2,157.78738030866066
6065,Dennis Quaid,2,157.556257236272
2178,Forest Whitaker,2,157.29674742386703
1896,Don Cheadle,2,156.7852706847225
6949,John Malkovich,2,155.30490147676048
6885,Charlize Theron,1,155.23472788242432
2228,Sean Penn,2,154.3977050034546
2505,James Cromwell,2,154.2612345798331
114019,Luke Evans,2,153.65543853482563
27972,Josh Hutcherson,2,152.2359755597496
3392,Michael Douglas,2,151.69764498807558
934,Russell Crowe,2,151.65862270496714
10882,Rosamund Pike,1,151.2791185261674
227,William Hurt,2,151.0203738915375
206,Jim Carrey,2,150.64913485289375
290,Christopher Plummer,2,150.63840683120821
204,Kate Winslet,1,150.6244842064287
13242,Paul Giamatti,2,150.49651796672845
6383,Aaron Eckhart,2,148.97434620910857
15735,Helen Mirren,1,148.9130749990516
74568,Chris Hemsworth,2,148.18972679239874
15831,Frank Welker,2,148.14623879118153
37917,Kristen Stewart,1,147.68488665514744
5576,Val Kilmer,2,147.61556890654626
4566,Alan Rickman,2,147.5951031481366
887,Owen Wilson,2,147.54689081329028
4724,Kevin Bacon,2,147.50384896902295
11701,Angelina Jolie,1,147.3269307947417
