key,value,data
War,4,1930
Animation,1,1930
Music,15,1930
Comedy,35,1930
History,2,1930
Western,1,1930
Adventure,2,1930
Fantasy,1,1930
Crime,9,1930
Documentary,3,1930
Drama,47,1930
Mystery,3,1930
Thriller,3,1930
Science Fiction,1,1930
Action,4,1930
Romance,28,1930
War,4,1931
Animation,4,1931
Music,6,1931
Comedy,29,1931
History,1,1931
Western,1,1931
Crime,18,1931
Adventure,6,1931
Science Fiction,2,1931
Mystery,5,1931
Drama,69,1931
Documentary,2,1931
Thriller,7,1931
Horror,5,1931
Action,11,1931
Romance,32,1931
Family,1,1931
War,5,1932
Animation,4,1932
Music,2,1932
Comedy,40,1932
History,4,1932
Western,5,1932
Crime,18,1932
Adventure,9,1932
Science Fiction,2,1932
Mystery,14,1932
Horror,14,1932
Drama,82,1932
Fantasy,4,1932
Family,1,1932
Action,9,1932
Romance,37,1932
Thriller,11,1932
War,4,1933
Animation,9,1933
Music,8,1933
Comedy,44,1933
History,3,1933
Western,8,1933
Adventure,8,1933
Fantasy,4,1933
Crime,16,1933
Documentary,2,1933
Drama,77,1933
Mystery,12,1933
Science Fiction,4,1933
Family,3,1933
Horror,11,1933
Action,17,1933
Romance,44,1933
Thriller,10,1933
War,5,1934
Animation,4,1934
Music,15,1934
Comedy,44,1934
History,5,1934
Western,12,1934
Crime,14,1934
Adventure,9,1934
Fantasy,4,1934
Mystery,10,1934
Drama,75,1934
Documentary,2,1934
Thriller,6,1934
Science Fiction,1,1934
Horror,3,1934
Action,14,1934
Romance,43,1934
Family,7,1934
War,2,1935
Animation,7,1935
Music,9,1935
Comedy,57,1935
History,7,1935
Western,10,1935
Adventure,14,1935
Fantasy,7,1935
Crime,16,1935
Documentary,1,1935
Drama,69,1935
Mystery,14,1935
Science Fiction,3,1935
Family,6,1935
Horror,9,1935
Action,15,1935
Romance,47,1935
Thriller,7,1935
War,5,1936
Animation,6,1936
Music,19,1936
Comedy,54,1936
History,10,1936
Western,10,1936
Adventure,8,1936
Fantasy,3,1936
Crime,19,1936
Documentary,1,1936
Drama,71,1936
Mystery,15,1936
Science Fiction,7,1936
Family,6,1936
Horror,7,1936
Action,8,1936
Romance,42,1936
Thriller,10,1936
War,8,1937
Crime,21,1937
Music,14,1937
Comedy,53,1937
History,10,1937
Western,4,1937
Animation,8,1937
Adventure,19,1937
Fantasy,6,1937
Mystery,14,1937
Drama,83,1937
Documentary,2,1937
Thriller,11,1937
Action,13,1937
Romance,53,1937
Family,9,1937
War,7,1938
Animation,4,1938
Music,11,1938
Comedy,51,1938
History,5,1938
Western,6,1938
Adventure,12,1938
Science Fiction,1,1938
Crime,15,1938
Documentary,2,1938
Drama,62,1938
Mystery,14,1938
Fantasy,2,1938
Family,5,1938
Horror,1,1938
Action,9,1938
Romance,41,1938
Thriller,9,1938
War,9,1939
Animation,2,1939
Music,7,1939
Comedy,39,1939
History,12,1939
Western,12,1939
Crime,20,1939
Adventure,19,1939
Science Fiction,3,1939
Mystery,21,1939
Drama,72,1939
Documentary,1,1939
Fantasy,4,1939
Family,5,1939
Horror,7,1939
Action,12,1939
Romance,39,1939
Thriller,20,1939
War,8,1940
Crime,17,1940
Music,10,1940
Comedy,53,1940
History,9,1940
Western,13,1940
Animation,3,1940
Adventure,11,1940
Fantasy,5,1940
Mystery,15,1940
Drama,81,1940
Documentary,1,1940
Science Fiction,6,1940
Family,8,1940
Horror,8,1940
Action,17,1940
Romance,43,1940
Thriller,17,1940
War,11,1941
Animation,6,1941
Music,11,1941
Comedy,69,1941
History,3,1941
Western,10,1941
Adventure,7,1941
Science Fiction,4,1941
Crime,14,1941
Drama,64,1941
Mystery,16,1941
Fantasy,8,1941
Family,4,1941
Horror,9,1941
Action,7,1941
Romance,54,1941
Thriller,17,1941
War,26,1942
Crime,19,1942
Music,10,1942
Comedy,47,1942
History,5,1942
Western,5,1942
Animation,8,1942
Adventure,10,1942
Science Fiction,2,1942
Mystery,19,1942
Drama,69,1942
Documentary,4,1942
Fantasy,8,1942
Family,6,1942
Horror,9,1942
Action,18,1942
Romance,43,1942
Thriller,18,1942
War,34,1943
Animation,4,1943
Music,17,1943
Comedy,37,1943
History,8,1943
Western,11,1943
Adventure,12,1943
Fantasy,7,1943
Crime,8,1943
Documentary,7,1943
Drama,64,1943
Mystery,13,1943
Thriller,20,1943
Science Fiction,3,1943
Horror,11,1943
Action,17,1943
Romance,41,1943
Family,4,1943
War,26,1944
Animation,6,1944
Music,17,1944
Comedy,38,1944
History,6,1944
Western,6,1944
Adventure,7,1944
Science Fiction,4,1944
Crime,12,1944
Documentary,5,1944
Drama,72,1944
Mystery,19,1944
Fantasy,8,1944
Family,5,1944
Horror,8,1944
Action,8,1944
Romance,27,1944
Thriller,24,1944
War,19,1945
Animation,4,1945
Music,11,1945
Comedy,38,1945
History,6,1945
Western,5,1945
Adventure,7,1945
Fantasy,6,1945
Crime,17,1945
Documentary,6,1945
Drama,71,1945
Mystery,22,1945
Science Fiction,1,1945
Family,3,1945
Horror,8,1945
Action,13,1945
Romance,35,1945
Thriller,24,1945
War,8,1946
Animation,3,1946
Music,10,1946
Comedy,19,1946
History,4,1946
Western,10,1946
Crime,30,1946
Adventure,3,1946
Fantasy,5,1946
Mystery,24,1946
Drama,80,1946
Documentary,1,1946
Thriller,27,1946
Horror,8,1946
Action,6,1946
Romance,30,1946
Family,6,1946
War,2,1947
Animation,4,1947
Music,11,1947
Comedy,36,1947
History,2,1947
Western,13,1947
Adventure,14,1947
Fantasy,5,1947
Crime,37,1947
Drama,85,1947
Mystery,18,1947
Thriller,36,1947
Action,7,1947
Romance,36,1947
Family,7,1947
War,6,1948
Crime,34,1948
Music,12,1948
Comedy,36,1948
History,4,1948
Western,15,1948
Mystery,13,1948
Adventure,9,1948
Fantasy,6,1948
Animation,3,1948
Drama,98,1948
Documentary,3,1948
Thriller,24,1948
Science Fiction,2,1948
Horror,3,1948
Action,20,1948
Romance,38,1948
Family,7,1948
War,8,1949
Crime,32,1949
Music,9,1949
Comedy,36,1949
History,3,1949
Western,7,1949
Adventure,9,1949
Science Fiction,2,1949
Animation,7,1949
Documentary,1,1949
Drama,97,1949
Mystery,11,1949
Fantasy,7,1949
Family,8,1949
Horror,4,1949
Action,11,1949
Romance,31,1949
Thriller,26,1949
War,8,1950
Animation,2,1950
Music,16,1950
Comedy,40,1950
History,4,1950
Western,22,1950
Mystery,8,1950
Adventure,12,1950
Science Fiction,4,1950
Crime,43,1950
